origin,destination,year,qty
Bolivia (Plurinational State of),Argentina,1990,147234.0
Brazil,Argentina,1990,34359.0
Chile,Argentina,1990,223528.0
Colombia,Argentina,1990,2702.0
Costa Rica,Argentina,1990,462.0
Cuba,Argentina,1990,1427.0
Dominican Republic,Argentina,1990,265.0
Ecuador,Argentina,1990,999.0
El Salvador,Argentina,1990,182.0
Guatemala,Argentina,1990,116.0
Haiti,Argentina,1990,75.0
Honduras,Argentina,1990,141.0
Mexico,Argentina,1990,2332.0
Nicaragua,Argentina,1990,145.0
Panama,Argentina,1990,376.0
Paraguay,Argentina,1990,257243.0
Peru,Argentina,1990,16366.0
United States of America,Argentina,1990,9992.0
Uruguay,Argentina,1990,136906.0
Venezuela (Bolivarian Republic of),Argentina,1990,1981.0
Barbados,Argentina,1990,16.0
Trinidad and Tobago,Argentina,1990,75.0
Jamaica,Argentina,1990,27.0
Grenada,Argentina,1990,25.0
Suriname,Argentina,1990,11.0
Dominica,Argentina,1990,9.0
Canada,Argentina,1990,796.0
Belize,Argentina,1990,12.0
Argentina,Bolivia (Plurinational State of),1990,21923.0
Brazil,Bolivia (Plurinational State of),1990,10558.0
Chile,Bolivia (Plurinational State of),1990,4807.0
Colombia,Bolivia (Plurinational State of),1990,651.0
Costa Rica,Bolivia (Plurinational State of),1990,102.0
Cuba,Bolivia (Plurinational State of),1990,105.0
Dominican Republic,Bolivia (Plurinational State of),1990,44.0
Ecuador,Bolivia (Plurinational State of),1990,299.0
El Salvador,Bolivia (Plurinational State of),1990,57.0
Guatemala,Bolivia (Plurinational State of),1990,146.0
Haiti,Bolivia (Plurinational State of),1990,6.0
Honduras,Bolivia (Plurinational State of),1990,232.0
Mexico,Bolivia (Plurinational State of),1990,8125.0
Nicaragua,Bolivia (Plurinational State of),1990,66.0
Panama,Bolivia (Plurinational State of),1990,92.0
Paraguay,Bolivia (Plurinational State of),1990,1173.0
Peru,Bolivia (Plurinational State of),1990,7138.0
United States of America,Bolivia (Plurinational State of),1990,3078.0
Uruguay,Bolivia (Plurinational State of),1990,402.0
Venezuela (Bolivarian Republic of),Bolivia (Plurinational State of),1990,369.0
Barbados,Bolivia (Plurinational State of),1990,7.0
Trinidad and Tobago,Bolivia (Plurinational State of),1990,4.0
Jamaica,Bolivia (Plurinational State of),1990,5.0
Grenada,Bolivia (Plurinational State of),1990,1.0
Suriname,Bolivia (Plurinational State of),1990,1.0
Dominica,Bolivia (Plurinational State of),1990,6.0
Antigua and Barbuda,Bolivia (Plurinational State of),1990,10.0
