Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Argentina,1995,,186685.0,33642.0,214736.0,3162.0,359.0,1873.0,849.0,1501.0,169.0,158.0,80.0,140.0,2686.0,167.0,357.0,286164.0,50888.0,9678.0,125366.0,2290.0,16.0,73.0,26.0,24.0,11.0,9.0,,,,,,953.0,12.0,
Bolivia (Plurinational State of),1995,25141.0,,12746.0,4622.0,1002.0,122.0,311.0,22.0,521.0,82.0,144.0,7.0,216.0,8770.0,76.0,95.0,2216.0,8306.0,3385.0,430.0,458.0,4.0,9.0,4.0,2.0,1.0,3.0,,5.0,,5.0,1.0,1728.0,962.0,4.0
Brazil,1995,27974.0,18217.0,,19708.0,3196.0,314.0,894.0,190.0,903.0,443.0,106.0,135.0,208.0,1027.0,415.0,767.0,25143.0,8278.0,12894.0,24081.0,1694.0,,,41.0,,177.0,,,,,,,1113.0,,1350.0
Chile,1995,39233.0,8923.0,5609.0,,2734.0,442.0,1751.0,198.0,5510.0,227.0,182.0,41.0,225.0,1223.0,201.0,428.0,920.0,21256.0,6767.0,1816.0,3148.0,14.0,8.0,18.0,6.0,5.0,18.0,33.0,13.0,3.0,1.0,13.0,1430.0,9.0,11.0
Colombia,1995,2471.0,653.0,1809.0,1810.0,,757.0,1375.0,350.0,11917.0,306.0,305.0,100.0,276.0,2072.0,475.0,1966.0,219.0,3342.0,14273.0,362.0,35162.0,,46.0,81.0,,,45.0,,36.0,,,,731.0,,17.0
Costa Rica,1995,864.0,220.0,304.0,1127.0,4147.0,,3558.0,556.0,683.0,26046.0,1602.0,41.0,2241.0,1778.0,131695.0,7652.0,48.0,2045.0,7301.0,196.0,834.0,6.0,21.0,209.0,5.0,11.0,3.0,1.0,,1.0,8.0,1.0,754.0,123.0,16.0
Cuba,1995,283.0,97.0,,298.0,268.0,,,203.0,102.0,,116.0,1564.0,,674.0,451.0,140.0,,145.0,899.0,,327.0,,,497.0,137.0,,,,,,,,102.0,,
Dominican Republic,1995,2935.0,403.0,1055.0,2101.0,5217.0,1724.0,7580.0,,1055.0,407.0,528.0,207931.0,481.0,1930.0,461.0,777.0,68.0,2212.0,10124.0,1805.0,15811.0,,111.0,468.0,,115.0,27.0,,296.0,,101.0,85.0,3957.0,,50.0
Ecuador,1995,1954.0,572.0,1035.0,5002.0,55897.0,351.0,1120.0,133.0,,196.0,162.0,36.0,176.0,797.0,147.0,361.0,91.0,4125.0,9854.0,359.0,3120.0,,17.0,15.0,,,,,,,18.0,,889.0,,
El Salvador,1995,211.0,59.0,264.0,294.0,375.0,1188.0,82.0,41.0,126.0,,7224.0,,12650.0,1948.0,4219.0,456.0,26.0,209.0,6306.0,94.0,219.0,50.0,,13.0,,,,,,,,,379.0,231.0,
