Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Argentina,1990,,147234.0,34359.0,223528.0,2702.0,462.0,1427.0,265.0,999.0,182.0,116.0,75.0,141.0,2332.0,145.0,376.0,257243.0,16366.0,9992.0,136906.0,1981.0,16.0,75.0,27.0,25.0,11.0,9.0,,,,,,796.0,12.0,
Bolivia (Plurinational State of),1990,21923.0,,10558.0,4807.0,651.0,102.0,105.0,44.0,299.0,57.0,146.0,6.0,232.0,8125.0,66.0,92.0,1173.0,7138.0,3078.0,402.0,369.0,7.0,4.0,5.0,1.0,1.0,6.0,,10.0,,9.0,1.0,1765.0,991.0,1.0
Brazil,1990,28350.0,15996.0,,22243.0,2223.0,388.0,442.0,277.0,614.0,405.0,53.0,254.0,280.0,792.0,329.0,974.0,21394.0,5716.0,11806.0,23363.0,1220.0,,,24.0,,120.0,,,,,,,970.0,,1093.0
Chile,1990,32696.0,7277.0,4332.0,,1554.0,428.0,518.0,124.0,2163.0,226.0,143.0,36.0,215.0,746.0,168.0,351.0,641.0,7052.0,5650.0,1393.0,2349.0,23.0,6.0,14.0,7.0,8.0,8.0,5.0,13.0,0.0,1.0,13.0,1051.0,16.0,7.0
Colombia,1990,2359.0,634.0,1728.0,1859.0,,691.0,1296.0,361.0,11870.0,297.0,264.0,100.0,265.0,1908.0,470.0,2073.0,237.0,2896.0,13478.0,360.0,33123.0,,52.0,96.0,,,46.0,,37.0,,,,682.0,,17.0
Costa Rica,1990,1041.0,269.0,346.0,1490.0,4372.0,,4504.0,553.0,736.0,56257.0,1977.0,48.0,2608.0,2081.0,99153.0,8692.0,58.0,2225.0,8586.0,252.0,1030.0,8.0,26.0,356.0,7.0,13.0,3.0,2.0,,1.0,10.0,1.0,810.0,202.0,20.0
Cuba,1990,373.0,128.0,,393.0,353.0,,,267.0,135.0,,153.0,2063.0,,889.0,595.0,184.0,,191.0,1186.0,,431.0,,,656.0,180.0,,,,,,,,135.0,,
Dominican Republic,1990,2642.0,363.0,950.0,1891.0,4697.0,1552.0,6824.0,,950.0,366.0,475.0,187210.0,433.0,1737.0,415.0,699.0,61.0,1991.0,9115.0,1625.0,14235.0,,100.0,421.0,,103.0,24.0,,266.0,,91.0,76.0,3562.0,,45.0
Ecuador,1990,1669.0,509.0,968.0,5302.0,40238.0,313.0,998.0,118.0,,174.0,144.0,32.0,157.0,656.0,131.0,321.0,81.0,2567.0,8595.0,320.0,2549.0,,15.0,13.0,,,,,,,16.0,,806.0,,
El Salvador,1990,255.0,73.0,329.0,380.0,386.0,1558.0,84.0,38.0,155.0,,8235.0,,15774.0,2457.0,3893.0,557.0,36.0,246.0,8033.0,120.0,258.0,64.0,,16.0,,,,,,,,,508.0,244.0,
Guatemala,1990,285.0,67.0,77.0,271.0,490.0,758.0,275.0,59.0,120.0,236655.0,,26.0,4768.0,5402.0,3726.0,242.0,72.0,210.0,5822.0,95.0,113.0,,,,,,,,,,,,272.0,543.0,
Haiti,1990,466.0,,,333.0,828.0,274.0,1203.0,2406.0,,,,,,306.0,,,,351.0,1607.0,286.0,2510.0,,,,,,,,,,,,628.0,,
Honduras,1990,145.0,112.0,179.0,273.0,409.0,594.0,464.0,103.0,348.0,114810.0,3250.0,34.0,,795.0,142802.0,190.0,27.0,291.0,2692.0,51.0,75.0,,,20.0,,,,,,,,,264.0,213.0,
Mexico,1990,4340.0,1519.0,1682.0,2783.0,4660.0,2088.0,2660.0,522.0,719.0,301106.0,72343.0,475.0,1990.0,,3096.0,25641.0,290.0,2981.0,198230.0,1113.0,1460.0,,32.0,116.0,,,,,,,,,3100.0,1415.0,
Nicaragua,1990,185.0,47.0,138.0,144.0,298.0,5959.0,896.0,65.0,98.0,12443.0,1134.0,25.0,10105.0,925.0,,442.0,,221.0,3721.0,11.0,146.0,,,39.0,,,,,35.0,,23.0,,185.0,60.0,
Panama,1990,580.0,213.0,633.0,998.0,13968.0,3919.0,3267.0,1474.0,1414.0,2396.0,376.0,122.0,638.0,1393.0,4553.0,,38.0,1781.0,3318.0,147.0,487.0,137.0,64.0,942.0,21.0,,12.0,,,,,,140.0,64.0,46.0
Paraguay,1990,50447.0,809.0,111355.0,2460.0,,,,,,,,,,3059.0,,,,,1582.0,3293.0,,,,,,,,,,,,,1418.0,,
