N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
182,2000,Anguilla,,,,,,,,,,,,521.0,,,,363.0,,224.0,,654.0,,,,,,330.0,,,,,,,,,,,,,,,,,309.0,,,,,,,94.0,,,404.0
183,2000,Antigua and Barbuda,32.0,,4.0,2.0,248.0,9.0,80.0,,17.0,16.0,3898.0,1466.0,158.0,62.0,27.0,3278.0,4.0,935.0,44.0,391.0,556.0,754.0,19.0,591.0,5.0,584.0,11.0,,,,6.0,4.0,,,,,,,,,,4.0,5317.0,,,37.0,,32.0,11.0,356.0,,,2157.0
184,2000,Aruba,,,,,,212.0,,,,1751.0,125.0,3615.0,276.0,,1000.0,715.0,,,,,,131.0,500.0,,,,,,,,,,77.0,,,,,,7043.0,,,,297.0,,939.0,1273.0,,2856.0,,,,,681.0
185,2000,Bahamas,,8.0,,,108.0,,12.0,9.0,110.0,,47.0,84.0,26.0,,20628.0,3773.0,,,,12.0,57.0,22.0,,321.0,488.0,,13.0,66.0,4.0,9.0,13.0,82.0,7.0,14.0,9.0,,47.0,8.0,33.0,15.0,,,682.0,,39.0,,2.0,24.0,13.0,1351.0,,,4300.0
186,2000,Barbados,,267.0,,64.0,,,,,0.0,,534.0,,668.0,,0.0,736.0,,,,0.0,3924.0,4350.0,,2070.0,,,0.0,,,,,,,,,,,,,,,,3026.0,,,0.0,,,0.0,791.0,,,1315.0
187,2000,"Bonaire, Sint Eustatius and Saba",534.0,1018.0,3103.0,139.0,451.0,,1748.0,,1970.0,2253.0,101.0,8340.0,15.0,193.0,3086.0,1426.0,193.0,,73.0,541.0,2.0,122.0,282.0,74.0,,164.0,,,,,,32.0,,,43.0,,,,2495.0,,,6.0,1235.0,,,2305.0,,1441.0,,164.0,,,1098.0
188,2000,British Virgin Islands,,524.0,,18.0,127.0,,,,,,836.0,1010.0,,,,368.0,,146.0,44.0,2100.0,371.0,1414.0,,279.0,,,,,,,,,,,,,,,,,,,1136.0,,,,,,,163.0,,,910.0
189,2000,Cayman Islands,,,,191.0,210.0,,,,757.0,14.0,,69.0,18.0,,20.0,7454.0,,,50.0,,12.0,33.0,,365.0,,,361.0,286.0,,,781.0,43.0,774.0,141.0,14.0,,74.0,,236.0,,,,199.0,,16.0,,,38.0,35.0,1399.0,,,1829.0
190,2000,Cuba,,,,,,,,,,,,138.0,93.0,,1065.0,338.0,,,140.0,,,,,,,,,,,79.0,,459.0,307.0,95.0,192.0,66.0,,203.0,182.0,69.0,,,,,98.0,,,222.0,,69.0,101.0,,612.0
191,2000,Curaçao,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2000,Dominica,11.0,290.0,26.0,7.0,95.0,,49.0,,7.0,,,,,23.0,873.0,74.0,82.0,93.0,10.0,36.0,161.0,72.0,,175.0,,,,,,,,,,,,,,,,,,13.0,108.0,,,11.0,,17.0,,105.0,,,356.0
193,2000,Dominican Republic,170.0,325.0,403.0,111.0,,,15.0,,8335.0,,29.0,,,118.0,228652.0,514.0,62.0,,10708.0,93.0,,,,122.0,4.0,576.0,,1896.0,447.0,580.0,529.0,2122.0,507.0,854.0,3227.0,443.0,1160.0,2310.0,5737.0,1160.0,,,55.0,75.0,2432.0,126.0,1985.0,17386.0,11.0,4351.0,,48.0,11133.0
194,2000,Grenada,,35.0,,27.0,161.0,,13.0,,,,67.0,,,,,105.0,,9.0,,14.0,147.0,341.0,,1980.0,,635.0,,,,,,,,,,,,,,,,,308.0,,,,,308.0,,205.0,,,
195,2000,Guadeloupe,,,,,,,,,,,5648.0,1593.0,,,8515.0,,8167.0,,,,274.0,,,,,,,,,,,,,,,,42.0,,,,,1030.0,125.0,,,24.0,,,,329.0,,,329.0
196,2000,Haiti,,,,,,,,,1628.0,,,3257.0,,,,,,,2092.0,,,,,,,,,370.0,,,,415.0,,,630.0,,,451.0,1121.0,,,,,,475.0,,388.0,3397.0,,850.0,,,2175.0
197,2000,Jamaica,,165.0,,713.0,575.0,,,,1928.0,,148.0,,222.0,,,,,,,103.0,353.0,242.0,,2476.0,,,7.0,106.0,143.0,326.0,173.0,,134.0,80.0,,,,,,,,,,,,,,,,1414.0,,,6668.0
198,2000,Martinique,,,,,,,,,,,374.0,122.0,,4821.0,1562.0,,,,,,1792.0,,,,,,,,,,,,,,,,67.0,,,,,1596.0,,,,,,,,,,,
199,2000,Montserrat,,104.0,,,,,,,,,250.0,22.0,,,,,,,,107.0,,26.0,,39.0,,,,,,,,,,,,,,,,,,,218.0,,,,,,,33.0,,,104.0
200,2000,Puerto Rico,,,,,,,,,19054.0,,2591.0,61563.0,,,327.0,94.0,,,,,,,,378.0,,945.0,,577.0,492.0,546.0,460.0,2703.0,509.0,1454.0,1259.0,122.0,207.0,837.0,3813.0,780.0,,,110.0,,1132.0,,,1974.0,,259.0,,,233924.0
201,2000,Saint Kitts and Nevis,,319.0,,11.0,79.0,,193.0,,,,158.0,,46.0,,,116.0,,339.0,,,82.0,136.0,,210.0,,483.0,,,,,,,,,,,,,,,,,612.0,,,,,,,,,,
202,2000,Saint Lucia,29.0,90.0,14.0,10.0,600.0,,4.0,4.0,18.0,,177.0,37.0,124.0,34.0,,144.0,367.0,25.0,13.0,34.0,,336.0,,602.0,,16.0,1.0,,,4.0,,8.0,,22.0,,,9.0,,,,,235.0,1522.0,,,33.0,,49.0,5.0,197.0,,,511.0
203,2000,Saint Vincent and the Grenadines,,55.0,,,328.0,189.0,,,,144.0,81.0,,408.0,,,119.0,,,,37.0,224.0,,98.0,907.0,,,,,,,,,,,,,,,,,,,226.0,,,,,,,154.0,,,318.0
204,2000,Sint Maarten (Dutch part),0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,0.0
205,2000,Trinidad and Tobago,,,,,1573.0,,,,40.0,,,,11148.0,,,798.0,,,,,976.0,8384.0,,,,,,,,,,,,,,,,,,,,,5264.0,,,,,1413.0,,947.0,,,3501.0
206,2000,Turks and Caicos Islands,,,,459.0,,,,,,,,692.0,,,4699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,,,676.0
207,2000,United States Virgin Islands,1103.0,4832.0,520.0,,361.0,412.0,2727.0,,,,4909.0,3194.0,578.0,,506.0,352.0,,810.0,4316.0,7054.0,3454.0,539.0,,2130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15712.0
209,2000,Belize,,,,,,,,,,,,,,,38.0,403.0,,,,,,,,,,,,,6631.0,16058.0,5436.0,2539.0,,,,,,,,,,,,,,,,,,487.0,,,1914.0
210,2000,Costa Rica,,,25.0,9.0,8.0,,,6.0,4391.0,,4.0,838.0,6.0,,54.0,166.0,3.0,3.0,272.0,1.0,1.0,1.0,,27.0,,5.0,106.0,,8857.0,2029.0,2994.0,2365.0,230085.0,10438.0,1120.0,282.0,415.0,1327.0,5995.0,971.0,,9.0,21.0,63.0,2887.0,15.0,239.0,1054.0,8.0,1074.0,6.0,1.0,9667.0
211,2000,El Salvador,,,,,35.0,,,,80.0,,,43.0,,,,9.0,,,58.0,,,,,,,,218.0,818.0,,6212.0,9525.0,1438.0,4545.0,354.0,166.0,44.0,198.0,207.0,363.0,97.0,,,,15.0,172.0,,67.0,179.0,,249.0,,,4603.0
212,2000,Guatemala,,,,,,,,,418.0,,,68.0,,,10.0,,,,65.0,,,,,,,,579.0,734.0,12037.0,,5295.0,11070.0,5404.0,190.0,350.0,86.0,151.0,191.0,730.0,105.0,,13.0,,38.0,288.0,,89.0,175.0,,251.0,252.0,,5456.0
213,2000,Honduras,,,,,,,,67.0,455.0,,,101.0,,,33.0,20.0,,,96.0,,,,,,,,271.0,639.0,6574.0,3421.0,,1164.0,5768.0,296.0,142.0,110.0,176.0,230.0,644.0,342.0,,,,26.0,285.0,,50.0,73.0,,259.0,,,5061.0
214,2000,Mexico,,,,,,,,,7267.0,,,1199.0,,,334.0,121.0,,,2572.0,,,,,41.0,,,1597.0,3166.0,5786.0,29156.0,4203.0,,3696.0,2396.0,6625.0,2007.0,3391.0,5685.0,6639.0,1778.0,,,,329.0,5479.0,,1966.0,3024.0,,7245.0,,,358399.0
215,2000,Nicaragua,,65.0,,45.0,,,,,754.0,,,55.0,,,20.0,24.0,,,46.0,,,,,,,,34.0,6948.0,2102.0,1199.0,10017.0,725.0,,347.0,188.0,46.0,107.0,111.0,309.0,86.0,,,,,185.0,,21.0,125.0,,180.0,,,3006.0
216,2000,Panama,,,,,46.0,,,,1676.0,122.0,24.0,5859.0,2.0,,300.0,553.0,,,335.0,,,,,46.0,,,86.0,4654.0,2032.0,600.0,838.0,2341.0,4923.0,,796.0,189.0,802.0,1060.0,21473.0,1896.0,,,33.0,35.0,2697.0,,264.0,989.0,,438.0,,22.0,5212.0
218,2000,Argentina,,,1.0,,16.0,,,,2319.0,,9.0,1434.0,23.0,,86.0,25.0,,,159.0,,,,,71.0,,,12.0,257.0,156.0,201.0,139.0,3040.0,190.0,338.0,,226137.0,32925.0,205945.0,3622.0,2004.0,,,,315086.0,85411.0,11.0,113827.0,2600.0,,1110.0,34.0,,9364.0
219,2000,Bolivia (Plurinational State of),,0.0,4.0,0.0,0.0,33.0,,,513.0,275.0,0.0,0.0,2.0,,7.0,2.0,,,41.0,0.0,,,79.0,14.0,,,922.0,141.0,107.0,141.0,197.0,9323.0,85.0,97.0,28095.0,,14801.0,4388.0,1342.0,738.0,,2.0,7.0,3236.0,9386.0,1.0,453.0,543.0,1.0,1672.0,,0.0,3656.0
220,2000,Brazil,,,,,,,,,1346.0,,,102.0,,,15.0,57.0,,,,,,,,,,,,239.0,481.0,158.0,136.0,1261.0,501.0,559.0,27597.0,20437.0,,17172.0,4169.0,1191.0,,624.0,1607.0,28891.0,10840.0,233.0,24799.0,2167.0,,1256.0,,,13981.0
221,2000,Chile,15.0,12.0,4.0,1.0,4.0,,0.0,1.0,2984.0,,27.0,271.0,5.0,7.0,45.0,21.0,5.0,1.0,181.0,12.0,60.0,5.0,,10.0,2.0,1.0,2.0,455.0,228.0,220.0,234.0,1700.0,234.0,504.0,45770.0,10568.0,6886.0,,3913.0,8857.0,2.0,2.0,15.0,1198.0,35460.0,2.0,2238.0,4044.0,5.0,1809.0,5.0,2.0,7884.0
222,2000,Colombia,37.0,35.0,268.0,,,,,,1454.0,79.0,43.0,338.0,,,99.0,66.0,,,455.0,,,,20.0,39.0,,,,822.0,315.0,346.0,286.0,2236.0,479.0,1858.0,2582.0,671.0,1889.0,1761.0,,11964.0,,,16.0,201.0,3788.0,,364.0,37200.0,,780.0,,,15068.0
