N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
182,1990,Anguilla,,,,,,,,,,,,308.0,,,,220.0,,135.0,,426.0,,,,,,192.0,,,,,,,,,,,,,,,,,181.0,,,,,,,28.0,,,215.0
183,1990,Antigua and Barbuda,17.0,,7.0,5.0,204.0,4.0,66.0,,12.0,10.0,2442.0,621.0,115.0,46.0,11.0,386.0,5.0,844.0,30.0,469.0,392.0,478.0,8.0,356.0,4.0,295.0,8.0,,,,3.0,3.0,,,,,,,,,,4.0,1660.0,,,9.0,,11.0,9.0,218.0,,,1308.0
184,1990,Aruba,,,,,,53.0,,,,438.0,143.0,2042.0,294.0,,320.0,162.0,,,,,,225.0,125.0,,,,,,,,,,19.0,,,,,,1849.0,,,,107.0,,141.0,721.0,,1144.0,,,,,425.0
185,1990,Bahamas,,13.0,,,234.0,,5.0,9.0,48.0,,35.0,44.0,28.0,,10894.0,2792.0,,,,13.0,25.0,20.0,,278.0,2080.0,,31.0,10.0,5.0,7.0,7.0,21.0,9.0,17.0,8.0,,36.0,9.0,28.0,10.0,,,419.0,,43.0,,2.0,16.0,34.0,730.0,,,4247.0
186,1990,Barbados,,226.0,,55.0,,,,,0.0,,451.0,,565.0,,0.0,622.0,,,,0.0,3317.0,3676.0,,1750.0,,,0.0,,,,,,,,,,,,,,,,2557.0,,,0.0,,,0.0,668.0,,,1112.0
187,1990,"Bonaire, Sint Eustatius and Saba",168.0,321.0,4376.0,44.0,142.0,,0.0,,621.0,2367.0,1820.0,8195.0,5.0,61.0,4062.0,450.0,0.0,,23.0,2083.0,1.0,39.0,296.0,23.0,,52.0,,,,,,10.0,,,14.0,,,,787.0,,,2.0,389.0,,,2005.0,,454.0,,52.0,,,346.0
188,1990,British Virgin Islands,,388.0,,14.0,94.0,,,,,,619.0,748.0,,,,272.0,,108.0,32.0,1555.0,274.0,1046.0,,206.0,,,,,,,,,,,,,,,,,,,841.0,,,,,,,120.0,,,674.0
189,1990,Cayman Islands,,,,59.0,65.0,,,,234.0,4.0,,21.0,5.0,,6.0,3751.0,,,15.0,,3.0,10.0,,113.0,,,111.0,88.0,,,753.0,13.0,240.0,43.0,4.0,,22.0,,73.0,,,,61.0,,5.0,,,11.0,11.0,426.0,,,1632.0
190,1990,Cuba,,,,,,,,,,,,267.0,180.0,,2063.0,656.0,,,272.0,,,,,,,,,,,153.0,,889.0,595.0,184.0,373.0,128.0,,393.0,353.0,135.0,,,,,191.0,,,431.0,,135.0,195.0,,1186.0
191,1990,Curaçao,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1990,Dominica,7.0,184.0,17.0,5.0,61.0,,31.0,,5.0,,,,,14.0,561.0,47.0,52.0,59.0,6.0,23.0,102.0,45.0,,111.0,,,,,,,,,,,,,,,,,,8.0,69.0,,,7.0,,11.0,,67.0,,,226.0
193,1990,Dominican Republic,139.0,266.0,330.0,91.0,,,12.0,,6824.0,,24.0,,,97.0,187210.0,421.0,51.0,,8767.0,76.0,,,,100.0,3.0,472.0,,1552.0,366.0,475.0,433.0,1737.0,415.0,699.0,2642.0,363.0,950.0,1891.0,4697.0,950.0,,,45.0,61.0,1991.0,103.0,1625.0,14235.0,9.0,3562.0,,38.0,9115.0
194,1990,Grenada,,22.0,,17.0,101.0,,8.0,,,,42.0,,,,,65.0,,6.0,,9.0,92.0,325.0,,1647.0,,7.0,,,,,,,,,,,,,,,,,324.0,,,,,43.0,,85.0,,,
195,1990,Guadeloupe,,,,,,,,,,,5560.0,3440.0,,,12028.0,,5803.0,,,,273.0,,,,,,,,,,,,,,,,35.0,,,,,732.0,56.0,,,3.0,,,,197.0,,,197.0
196,1990,Haiti,,,,,,,,,1203.0,,,2406.0,,,,,,,1546.0,,,,,,,,,274.0,,,,306.0,,,466.0,,,333.0,828.0,,,,,,351.0,,286.0,2510.0,,628.0,,,1607.0
197,1990,Jamaica,,120.0,,518.0,418.0,,,,1746.0,,107.0,,161.0,,,,,,,75.0,257.0,176.0,,1775.0,,,6.0,96.0,130.0,295.0,157.0,,121.0,73.0,,,,,,,,,,,,,,,,1140.0,,,4575.0
198,1990,Martinique,,,,,,,,,,,184.0,16.0,,3327.0,1109.0,,,,,,989.0,,,,,,,,,,,,,,,,16.0,,,,,1101.0,,,,,,,,,,,
199,1990,Montserrat,,172.0,,,,,,,,,412.0,37.0,,,,,,,,176.0,,45.0,,66.0,,,,,,,,,,,,,,,,,,,359.0,,,,,,,56.0,,,173.0
200,1990,Puerto Rico,,,,,,,,,19579.0,,2567.0,37207.0,,,295.0,84.0,,,,,,,,337.0,,936.0,,487.0,519.0,487.0,435.0,1907.0,460.0,1873.0,1234.0,109.0,185.0,924.0,3399.0,573.0,,,99.0,,703.0,,,1264.0,,231.0,,,227483.0
201,1990,Saint Kitts and Nevis,,175.0,,5.0,41.0,,106.0,,,,87.0,,24.0,,,62.0,,186.0,,,46.0,74.0,,115.0,,265.0,,,,,,,,,,,,,,,,,335.0,,,,,,,,,,
202,1990,Saint Lucia,16.0,49.0,8.0,6.0,324.0,,2.0,2.0,10.0,,96.0,20.0,67.0,19.0,,78.0,198.0,14.0,7.0,19.0,,182.0,,325.0,,9.0,1.0,,,2.0,,4.0,,12.0,,,5.0,,,,,127.0,821.0,,,18.0,,27.0,3.0,107.0,,,276.0
203,1990,Saint Vincent and the Grenadines,,51.0,,,303.0,175.0,,,,134.0,75.0,,377.0,,,111.0,,,,35.0,208.0,,87.0,837.0,,,,,,,,,,,,,,,,,,,209.0,,,,,,,143.0,,,291.0
204,1990,Sint Maarten (Dutch part),0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,0.0
205,1990,Trinidad and Tobago,,,,,2411.0,,,,40.0,,,,16589.0,,,811.0,,,,,1306.0,11629.0,,,,,,,,,,,,,,,,,,,,,5140.0,,,,,1337.0,,963.0,,,2430.0
206,1990,Turks and Caicos Islands,,,,840.0,,,,,,,,349.0,,,2430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,454.0
207,1990,United States Virgin Islands,1113.0,4398.0,417.0,,289.0,330.0,2665.0,,,,3219.0,533.0,463.0,,188.0,260.0,,649.0,3974.0,5828.0,2533.0,432.0,,2475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14246.0
